epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1695.2,1.37386,1.0648,1.25359,0.64041,0.41342,0.4509,0.25852,1.26853,0.94097,1.236,0.0005941,0.0005941,0.0005941
43,1735.38,1.37268,1.06508,1.25556,0.61828,0.42209,0.46497,0.26639,1.26234,0.9336,1.23116,0.0005842,0.0005842,0.0005842
44,1775.55,1.36195,1.06134,1.24992,0.51707,0.4729,0.46403,0.26734,1.2529,0.92267,1.22555,0.0005743,0.0005743,0.0005743
45,1815.84,1.35349,1.04599,1.24826,0.54105,0.47342,0.47255,0.27249,1.25377,0.92562,1.22477,0.0005644,0.0005644,0.0005644
46,1856.02,1.35048,1.04113,1.24073,0.64766,0.42445,0.48034,0.27825,1.25018,0.92091,1.22272,0.0005545,0.0005545,0.0005545
47,1896.2,1.35494,1.04358,1.24315,0.54896,0.49032,0.49405,0.28367,1.2443,0.91721,1.2185,0.0005446,0.0005446,0.0005446
48,1936.41,1.34409,1.02978,1.23702,0.61154,0.4362,0.47375,0.27412,1.24204,0.91507,1.22083,0.0005347,0.0005347,0.0005347
49,1976.5,1.34972,1.0382,1.23852,0.62873,0.45734,0.49137,0.28818,1.23942,0.90615,1.218,0.0005248,0.0005248,0.0005248
50,2016.65,1.33229,1.02072,1.22909,0.60581,0.47662,0.49574,0.2894,1.23179,0.90254,1.21447,0.0005149,0.0005149,0.0005149
51,2056.97,1.32759,1.01656,1.22883,0.63922,0.44872,0.49659,0.29065,1.22824,0.89779,1.21238,0.000505,0.000505,0.000505
52,2097.08,1.32871,1.01646,1.23275,0.61973,0.47156,0.50281,0.29159,1.23139,0.89779,1.21259,0.0004951,0.0004951,0.0004951
53,2137.17,1.31256,0.99962,1.22043,0.63238,0.44571,0.50245,0.29623,1.21881,0.89269,1.20849,0.0004852,0.0004852,0.0004852
54,2177.26,1.31994,1.00522,1.22425,0.61557,0.49093,0.51182,0.29874,1.21627,0.89107,1.20375,0.0004753,0.0004753,0.0004753
55,2217.44,1.31472,1.00639,1.22487,0.62496,0.48988,0.52053,0.30107,1.21254,0.88697,1.20299,0.0004654,0.0004654,0.0004654
56,2257.68,1.30982,1.00698,1.22131,0.66728,0.48373,0.52573,0.30675,1.21581,0.88383,1.20303,0.0004555,0.0004555,0.0004555
57,2297.81,1.31602,0.99896,1.22439,0.60628,0.51209,0.52131,0.30489,1.20887,0.87503,1.20052,0.0004456,0.0004456,0.0004456
58,2338.01,1.30907,0.99115,1.21984,0.65961,0.47798,0.51882,0.30704,1.21074,0.88174,1.20192,0.0004357,0.0004357,0.0004357
59,2378.06,1.29881,0.98527,1.21247,0.60064,0.49746,0.52283,0.30955,1.20421,0.8718,1.19864,0.0004258,0.0004258,0.0004258
60,2418.43,1.29006,0.98341,1.21297,0.6285,0.49963,0.52607,0.31167,1.20079,0.86842,1.19716,0.0004159,0.0004159,0.0004159
61,2458.64,1.29636,0.98627,1.20858,0.6582,0.49592,0.52495,0.30936,1.1958,0.86493,1.19547,0.000406,0.000406,0.000406
62,2498.93,1.28583,0.96883,1.20797,0.63569,0.49752,0.52889,0.3118,1.19241,0.86074,1.19272,0.0003961,0.0003961,0.0003961
63,2539.08,1.28934,0.97458,1.20909,0.66634,0.48943,0.53534,0.31833,1.18887,0.85855,1.19164,0.0003862,0.0003862,0.0003862
64,2579.22,1.28742,0.97646,1.20783,0.6702,0.48214,0.53268,0.32039,1.18324,0.85451,1.18838,0.0003763,0.0003763,0.0003763
65,2619.54,1.27477,0.95514,1.2026,0.65997,0.49979,0.54462,0.32007,1.18633,0.85462,1.18933,0.0003664,0.0003664,0.0003664
66,2659.85,1.28788,0.96948,1.20761,0.63599,0.50753,0.54264,0.32476,1.18327,0.85241,1.18817,0.0003565,0.0003565,0.0003565
67,2700.11,1.26911,0.95788,1.19875,0.65894,0.49872,0.54549,0.32437,1.17907,0.85024,1.18494,0.0003466,0.0003466,0.0003466
68,2740.24,1.27269,0.95756,1.20103,0.67059,0.5039,0.54612,0.32441,1.17647,0.84859,1.18487,0.0003367,0.0003367,0.0003367
69,2780.44,1.27662,0.96143,1.20313,0.6334,0.50585,0.54786,0.32434,1.17685,0.84611,1.18297,0.0003268,0.0003268,0.0003268
70,2820.59,1.26049,0.93957,1.19102,0.6355,0.51229,0.54814,0.32583,1.17406,0.84209,1.18164,0.0003169,0.0003169,0.0003169
71,2860.84,1.25936,0.94373,1.19668,0.61548,0.53112,0.55589,0.32969,1.17592,0.84029,1.18239,0.000307,0.000307,0.000307
72,2901.02,1.27156,0.94804,1.19447,0.66096,0.50887,0.55878,0.32848,1.17396,0.83594,1.18192,0.0002971,0.0002971,0.0002971
73,2941.29,1.26157,0.94298,1.19409,0.65159,0.5136,0.55177,0.33038,1.17007,0.83519,1.17943,0.0002872,0.0002872,0.0002872
74,2981.52,1.25631,0.93434,1.19346,0.6206,0.51745,0.54912,0.32617,1.17188,0.83604,1.18028,0.0002773,0.0002773,0.0002773
75,3021.72,1.25474,0.93755,1.19261,0.62903,0.5179,0.5565,0.33063,1.16951,0.83361,1.17759,0.0002674,0.0002674,0.0002674
76,3061.96,1.25987,0.93455,1.19176,0.62807,0.51627,0.55416,0.33322,1.16593,0.83448,1.17677,0.0002575,0.0002575,0.0002575
77,3102.07,1.25516,0.93851,1.18668,0.63637,0.51897,0.56168,0.33608,1.16448,0.8309,1.17449,0.0002476,0.0002476,0.0002476
78,3142.27,1.25168,0.93705,1.19118,0.6127,0.53205,0.55942,0.33457,1.16331,0.82959,1.17511,0.0002377,0.0002377,0.0002377
79,3182.54,1.24596,0.92862,1.1855,0.64127,0.50871,0.55951,0.33603,1.16067,0.82733,1.17359,0.0002278,0.0002278,0.0002278
80,3222.61,1.25863,0.93405,1.19288,0.69143,0.50101,0.562,0.33639,1.1594,0.82451,1.17306,0.0002179,0.0002179,0.0002179
81,3262.9,1.2449,0.92699,1.18173,0.62959,0.5172,0.56199,0.33676,1.16002,0.82336,1.17311,0.000208,0.000208,0.000208
82,3303.31,1.23829,0.91846,1.18675,0.62711,0.53503,0.56503,0.33912,1.15516,0.82125,1.17146,0.0001981,0.0001981,0.0001981
83,3343.38,1.2467,0.92986,1.18691,0.64525,0.5327,0.56893,0.33995,1.1566,0.8216,1.1717,0.0001882,0.0001882,0.0001882
84,3383.45,1.2439,0.92049,1.18214,0.65433,0.51997,0.56613,0.34093,1.15557,0.81993,1.17107,0.0001783,0.0001783,0.0001783
85,3423.64,1.23591,0.91702,1.18221,0.6651,0.52731,0.57017,0.3429,1.15381,0.81824,1.16962,0.0001684,0.0001684,0.0001684
86,3463.94,1.23861,0.92445,1.18168,0.66543,0.52465,0.56749,0.34051,1.15227,0.81846,1.17029,0.0001585,0.0001585,0.0001585
87,3504.13,1.23773,0.91553,1.1853,0.6632,0.51458,0.56471,0.33912,1.15316,0.81776,1.17005,0.0001486,0.0001486,0.0001486
88,3544.34,1.23361,0.92142,1.1786,0.6478,0.53303,0.56997,0.34386,1.15202,0.81539,1.16974,0.0001387,0.0001387,0.0001387
89,3584.54,1.23426,0.91223,1.17876,0.66331,0.51999,0.57055,0.34466,1.14968,0.8137,1.16832,0.0001288,0.0001288,0.0001288
90,3624.83,1.23217,0.91621,1.17853,0.6566,0.5223,0.57151,0.34364,1.14905,0.813,1.16778,0.0001189,0.0001189,0.0001189
91,3664.9,1.22345,0.94059,1.17835,0.65018,0.50617,0.55786,0.33077,1.178,0.83336,1.17764,0.000109,0.000109,0.000109
92,3704.64,1.18632,0.89387,1.15743,0.63611,0.50632,0.55672,0.32958,1.18221,0.83856,1.17991,9.91e-05,9.91e-05,9.91e-05
93,3744.45,1.17784,0.89676,1.15289,0.66352,0.49926,0.5573,0.33475,1.17779,0.8357,1.17724,8.92e-05,8.92e-05,8.92e-05
94,3784.17,1.16977,0.88179,1.15786,0.65127,0.50545,0.55556,0.33451,1.17331,0.83222,1.17517,7.93e-05,7.93e-05,7.93e-05
95,3823.92,1.16464,0.87542,1.15408,0.66691,0.49775,0.56047,0.33614,1.17008,0.82937,1.17396,6.94e-05,6.94e-05,6.94e-05
96,3863.52,1.16512,0.87587,1.15086,0.68084,0.49463,0.56324,0.33944,1.16789,0.82728,1.17336,5.95e-05,5.95e-05,5.95e-05
97,3903.07,1.16266,0.8721,1.14777,0.68331,0.49291,0.56748,0.3412,1.16597,0.825,1.17245,4.96e-05,4.96e-05,4.96e-05
98,3942.65,1.15764,0.86517,1.14551,0.69544,0.49075,0.57038,0.342,1.16548,0.82325,1.1722,3.97e-05,3.97e-05,3.97e-05
99,3982.33,1.15229,0.86595,1.14779,0.68666,0.50052,0.56709,0.34301,1.16412,0.8214,1.17133,2.98e-05,2.98e-05,2.98e-05
100,4022.04,1.14977,0.8685,1.14492,0.70476,0.49463,0.56752,0.34207,1.16426,0.82147,1.17107,1.99e-05,1.99e-05,1.99e-05
